experiment,experiment_label,grouping,group_value,system,system_label,count,accepted,acceptance_rate,source_metric_file,source_metric_key
test_disagreement,Specialist disagreement,disagreement_regime,high,mean_ensemble,Mean ensemble,30,19,0.6333333333333333,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.high.mean_ensemble
test_disagreement,Specialist disagreement,disagreement_regime,high,static_weighted_ensemble,Static weighted ensemble,30,15,0.5,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.high.static_weighted_ensemble
test_disagreement,Specialist disagreement,disagreement_regime,high,veto_mavs,Veto MAVS,30,3,0.1,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.high.veto_mavs
test_disagreement,Specialist disagreement,disagreement_regime,high,pure_mavs_gc,Pure MAVS-GC,30,0,0.0,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.high.pure_mavs_gc
test_disagreement,Specialist disagreement,disagreement_regime,low,mean_ensemble,Mean ensemble,30,18,0.6,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.low.mean_ensemble
test_disagreement,Specialist disagreement,disagreement_regime,low,static_weighted_ensemble,Static weighted ensemble,30,20,0.6666666666666666,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.low.static_weighted_ensemble
test_disagreement,Specialist disagreement,disagreement_regime,low,veto_mavs,Veto MAVS,30,2,0.06666666666666667,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.low.veto_mavs
test_disagreement,Specialist disagreement,disagreement_regime,low,pure_mavs_gc,Pure MAVS-GC,30,1,0.03333333333333333,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.low.pure_mavs_gc
test_disagreement,Specialist disagreement,disagreement_regime,medium,mean_ensemble,Mean ensemble,30,16,0.5333333333333333,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.medium.mean_ensemble
test_disagreement,Specialist disagreement,disagreement_regime,medium,static_weighted_ensemble,Static weighted ensemble,30,19,0.6333333333333333,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.medium.static_weighted_ensemble
test_disagreement,Specialist disagreement,disagreement_regime,medium,veto_mavs,Veto MAVS,30,5,0.16666666666666666,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.medium.veto_mavs
test_disagreement,Specialist disagreement,disagreement_regime,medium,pure_mavs_gc,Pure MAVS-GC,30,0,0.0,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.medium.pure_mavs_gc
test_false_positive_trap,False positive trap,trap_type,unsafe_high_confidence_consensus,mean_ensemble,Mean ensemble,120,120,1.0,results/metrics/test_false_positive_trap.json,acceptance_by_trap_type.unsafe_high_confidence_consensus.mean_ensemble
